Profile_ID,Selected_Friend,Selected_Friend_of_Friend,Friend_Request_Sent,Friend_Request_Accepted
9e5bec3ed583,b8bc075e54b9,b5e368c3f830,False,False
ac5577bc1a57,b8bc075e54b9,dfd572ac8b64,False,False
f654a40a9376,b8bc075e54b9,dfd572ac8b64,False,False
2e79cae5ff8c,b8bc075e54b9,d86522ac043a,False,False
2007780558c9,b8bc075e54b9,15c0812dceff,True,True
bb37036f9c97,b8bc075e54b9,45a669e4fc6a,True,True
e84bfb0974bb,b8bc075e54b9,89581f99fa1e,False,False
cdcb129fb070,b8bc075e54b9,e5160cec7608,True,True
3ae230548420,b8bc075e54b9,d86522ac043a,False,False
05a4659fe648,b8bc075e54b9,b5e368c3f830,False,False
e6099748f49b,b8bc075e54b9,b5e368c3f830,False,False
e6c3cbf4d69a,b8bc075e54b9,dfd572ac8b64,False,False
3d35793aeee3,b8bc075e54b9,b5e368c3f830,False,False
9a689f5adfd5,b8bc075e54b9,89581f99fa1e,False,False
53a1607ca6d9,89581f99fa1e,592cc7ef2470,False,False
94070e09a26d,89581f99fa1e,4e1a99306b8a,True,True
5703bfb772c2,89581f99fa1e,dfd572ac8b64,False,False
8a1ff5924dd2,89581f99fa1e,ad18012a6ea1,True,True
402abeb65e71,89581f99fa1e,592cc7ef2470,False,False
9958c5e57d94,89581f99fa1e,e475945169f8,False,False
b8310d4dac2b,89581f99fa1e,0a49e00b1d23,True,True
d41c583d5321,89581f99fa1e,6ac6ae913900,False,False
e0072e61f6b0,89581f99fa1e,6b6abf540214,True,True
c0a1bc9502ba,89581f99fa1e,055f82fb0287,True,True
6c04b2cd5d28,89581f99fa1e,8715eea58687,False,False
359e3e61c0d3,7414f31eb8c3,55cb8085a4cb,False,False
21057dd42e0c,7414f31eb8c3,c5139fbc497d,False,False
a6f8895de38c,7414f31eb8c3,f5959e5fe47f,True,True
c71eb1ea9971,7123d5cb3dbf,49e7c45b743c,False,False
b73a5efeb8b7,7123d5cb3dbf,31b28fc4acda,False,False
176fd463c999,7123d5cb3dbf,7ced354e73e7,False,False
7e36688eb56d,7123d5cb3dbf,083f9269ecf8,False,False
b71aa8a4cde5,7123d5cb3dbf,49e7c45b743c,False,False
7b425ab19c13,7123d5cb3dbf,5803c9118efc,False,False
f4ebb1df77e5,7123d5cb3dbf,88a6815db164,True,True
eac64d20be7d,7123d5cb3dbf,9a8f2b6fc4cb,False,False
711e84e85838,7123d5cb3dbf,c5df4477bde3,True,True
2b420355f496,1b0ab41bdf4a,f2fc8cf2f658,True,True
35a994231ba0,1b0ab41bdf4a,d87486e3d938,False,False
619aeb9db5cd,da6bb1840c20,a08f4c1767c8,False,False
ef59ffe505da,da6bb1840c20,6daa630ab897,False,False
af849fa18164,da6bb1840c20,052ecbd27fd7,False,False
de3f1bd9f9f3,da6bb1840c20,3fa6a5f2a3ca,False,False
8baf64e36b6d,15a03987b539,2ea5f17113d0,False,False
1a370fb13742,15a03987b539,4e592f2c751d,True,True
e40b9162d09d,15a03987b539,6a55bc05303d,True,True
7e8b48c4537a,15a03987b539,54a1db838af9,True,True
47a8714c6e92,15a03987b539,89581f99fa1e,False,False
665da96d5702,f2018cbc4ee7,d9da0ea4ecf5,True,True
823dd99b0eb0,f2018cbc4ee7,b5e368c3f830,False,False
72daa9f90dd9,f2018cbc4ee7,eb48c5af7287,False,False
7356109ed8b5,f2018cbc4ee7,8b85c5adde69,False,False
36340a34b98e,f2018cbc4ee7,dbb75aa4f415,True,True
1ef6bd1e7843,f2018cbc4ee7,31e2698c4f90,True,True
9895cc5a0873,f2018cbc4ee7,1dfc3a996e73,False,False
71c102c948d9,736c4caccde3,6caa597f13cc,False,False
72691c2f37b2,736c4caccde3,7f69d40771a9,False,False
01bf58631007,736c4caccde3,6caa597f13cc,True,False
21c5d35d93d8,736c4caccde3,7f69d40771a9,False,False
7a0766f52033,736c4caccde3,68804c589075,True,True
529b421b35fc,736c4caccde3,2045e3d5f7b7,True,True
8617f3a13e43,736c4caccde3,6caa597f13cc,False,False
606759d13e84,736c4caccde3,affff7774ef8,True,True
55ec98430f35,736c4caccde3,f1890ad1f5a3,True,True
82ed66e4e40c,736c4caccde3,953bdde56351,False,False
c0554c5b32f0,736c4caccde3,6caa597f13cc,False,False
a99b871d9218,736c4caccde3,1e9f17001196,False,False
2d9cb526d4a1,736c4caccde3,6caa597f13cc,False,False
26995879b061,8023b2ef0366,28d0e7bcd5c7,True,True
471b1a9861c4,8023b2ef0366,68e7a8986cef,True,True
e3dbcca06cf1,8023b2ef0366,27095cd348ef,True,True
b677bef1b838,8023b2ef0366,ae4b8079a2cc,False,False
58f423ac4cac,8023b2ef0366,0758edce989d,False,False
a255d098d4b7,8023b2ef0366,77dd24227007,True,True
632877112b08,8023b2ef0366,ef301651c7c3,True,True
ad7e37d49cb8,b58535395a0e,ad7e37d49cb8,True,True
de2965ac31c3,b8bc075e54b9,d86522ac043a,False,False
b58535395a0e,ad7e37d49cb8,b58535395a0e,False,False
f7c8b901f6d3,b8bc075e54b9,21f8c9514f94,True,True
f7b62a0558fa,f1e25328ff7c,f7b62a0558fa,True,True
6f2dca6345d0,b8bc075e54b9,f7725a623ac8,True,True
7d2f5e4f4b42,b8bc075e54b9,3d35793aeee3,True,True
63ab94d24452,2e935226520b,ced4ab8d6a40,False,False
ad92bdd6f58f,b8bc075e54b9,89581f99fa1e,False,False
b10e2efe5e96,b8bc075e54b9,dfd572ac8b64,False,False
8667c0c24db4,b8bc075e54b9,b5e368c3f830,False,False
1863ea8d8306,5325582497f6,b04034ef703e,True,True
7c97b124fc9e,cc2a82038185,1d54d57a01a7,True,True
fed4ea0307e2,f1e25328ff7c,956a8e33023f,True,True
06f1d0b5dd5e,b495840d09fe,1c9a5e4f9641,False,False
66fc539eb263,0a0f902dc7c6,66fc539eb263,True,True
7c1401f02e94,6fc4693e7953,2170d3b4ad9e,True,True
e0d3d1058e88,956a8e33023f,de042a8457dc,False,False
f5c0e622d47c,b8bc075e54b9,d86522ac043a,False,False
de042a8457dc,956a8e33023f,de042a8457dc,False,False
0a0f902dc7c6,66fc539eb263,0a0f902dc7c6,True,True
0289cf827470,44946ad84360,3afb02ef6420,True,True
249193a89dc6,8700ea0ec29d,1c9a5e4f9641,False,False
7c944284ddb1,f5c0e622d47c,7c944284ddb1,False,False
4110feaa2166,b8bc075e54b9,83c0e39eb091,True,True
175706d89285,b8bc075e54b9,f1e25328ff7c,True,True
823c1b7a7c53,b8bc075e54b9,dfd572ac8b64,False,False
952a7da32540,b5e368c3f830,f2018cbc4ee7,False,False
f629da47c230,89581f99fa1e,1c436180e006,False,False
8f06cee82e8b,89581f99fa1e,b8bc075e54b9,True,False
07df67c4eb59,89581f99fa1e,4ab32e2e837c,False,False
acf2788089bb,89581f99fa1e,7414f31eb8c3,False,False
5c2729c11b2d,89581f99fa1e,c8fd2338e271,True,True
91e2011bd7ac,89581f99fa1e,c6c6b61c5123,True,True
7a3e7e845f4c,89581f99fa1e,be49db6d70d6,True,False
0fcbc467e324,9b5827fcfec7,8295c028f0d0,True,True
da260a130321,2ba0bc86af17,e7d18c40d334,True,True
bb49e016c3a4,1cecb5ba5727,4b4b588010ec,False,False
26247b31e0df,3556e6d1c280,534f1c0695f8,True,True
f6b9fcb5860d,89581f99fa1e,cac915edc2d5,False,False
a47cbf260b41,89581f99fa1e,9533fdb866e1,False,False
e475945169f8,89581f99fa1e,be49db6d70d6,False,False
d067cab2bffc,71c3a3ccd09c,e68e39c57130,False,False
dc8ec6b074d1,dfd572ac8b64,c96fe807a18f,False,False
859ce2d70262,dfd572ac8b64,62adf86570ac,False,False
27bb2d244313,d4a0189f4049,ddd2d8a1b2f1,True,True
2aeebe8d0ed4,7414f31eb8c3,c5139fbc497d,False,False
32f1341299aa,718b58c9f2ac,32f1341299aa,False,False
726ff912c9b8,7414f31eb8c3,4d6044f0d85e,False,False
634e75ad9913,7414f31eb8c3,89581f99fa1e,False,False
f6cf9ce63562,deeeb2861be9,f6cf9ce63562,True,True
deeeb2861be9,f6cf9ce63562,deeeb2861be9,True,True
c5df4477bde3,b1d567204821,73281ccfdbce,True,True
c7f482f96f43,f2018cbc4ee7,edfcb80cf66c,False,False
617eb0addfeb,34e4dac5e3b1,40814ee7cad1,True,True
940765ab5fa9,cc763b807512,e3d48b8c52fd,True,True
75b2e06440b8,1b0ab41bdf4a,53c9cafb3809,False,False
a7c50a27431b,1472117891ce,940963abb0ed,True,True
dd35608846ec,1b0ab41bdf4a,d87486e3d938,False,False
0ae953322a73,1b0ab41bdf4a,a08f4c1767c8,False,False
c503714533f5,da6bb1840c20,35c2d1323900,False,False
35c2d1323900,da6bb1840c20,431450642448,True,False
35540e5e425b,15a03987b539,d9fd5322a3f7,True,True
257e290df034,15a03987b539,62d457d90bf3,True,True
50ab81b85392,15a03987b539,0e25d39dd5c2,False,False
1a6e9bf35388,0e415a66c28b,0a60d31c7578,True,True
f058c90562a7,15a03987b539,0528a0eedb96,True,True
01bc5e21ac9b,d31235d03161,01bc5e21ac9b,True,True
546928e6a25a,85ab83a2d10f,937c7c24c9ab,True,True
d31235d03161,15a03987b539,2e3e6f7e7e41,False,False
8917b4abaed7,3b1c4b8b6251,0482749845c7,True,True
dc2fba94159e,f2018cbc4ee7,c2fa4a650eab,True,True
980999a348e3,f2018cbc4ee7,1dfc3a996e73,False,False
4e7af44a76ba,330a88063874,9a820ce98e06,True,True
ce62dccd4d77,736c4caccde3,7f69d40771a9,False,False
ad7c10213981,736c4caccde3,da6bb1840c20,False,False
7465e8efe0ab,736c4caccde3,6ac4d3ec626b,False,False
890f603b78f5,736c4caccde3,6caa597f13cc,False,False
3e02c6bf8e27,736c4caccde3,6caa597f13cc,False,False
474fb436e178,9848d11dad9d,474fb436e178,True,True
27d5db7f85d3,736c4caccde3,6caa597f13cc,False,False
772ce569cab9,16c8dd73b966,b85e3dd42c2f,True,True
f492a104c63f,8e859f1f3544,d757d864dd93,True,True
3e57acf78e1a,736c4caccde3,91d8955c9f8c,True,True
e7e6eeaf0d1c,0c469888e8f1,e7e6eeaf0d1c,False,False
877f554028d1,736c4caccde3,6f3c6d5369fd,False,False
ab08ccb3fb39,736c4caccde3,6caa597f13cc,False,False
3cd352363570,736c4caccde3,953bdde56351,False,False
6da6c4c92410,8023b2ef0366,555daf61bf95,True,True
ba1680be9a7b,1f2d4462004d,ba1680be9a7b,True,True
f73f01445329,8023b2ef0366,b90a1222d2b2,False,False
283ec66fc470,68e7a8986cef,cb4be25afda7,False,False
1f2d4462004d,ba1680be9a7b,1f2d4462004d,True,True
d664ad1c86f2,555daf61bf95,d664ad1c86f2,True,True
e37ed45f4377,f73f01445329,e37ed45f4377,True,True
a257e9431045,8023b2ef0366,471b1a9861c4,True,True
78e200cb274d,6b21660327c2,285a8b096828,True,True
2fcb9e82642e,8023b2ef0366,68e7a8986cef,True,True
440af1812334,44946ad84360,954f9dc02c38,False,False
2a6fffc3967d,b8bc075e54b9,dfd572ac8b64,False,False
5613f7f5b5cc,ba4dd06ef108,68a329c47450,True,True
cfd33488c7a8,b8bc075e54b9,b5e368c3f830,False,False
34f888f96e03,86dc92a0b236,34f888f96e03,True,True
3617f6cbcded,b8bc075e54b9,dfd572ac8b64,False,False
0491a87eca39,b8bc075e54b9,e6c3cbf4d69a,False,False
f398e1781b61,0491a87eca39,44946ad84360,True,True
e81599b5162b,17cdaa697248,1e6e14ca2e81,True,True
b96832a5e862,b8bc075e54b9,dfd572ac8b64,False,False
86dc92a0b236,34f888f96e03,c94af46d6fe7,True,True
2c8b74c79cec,c8823edd6529,132aa73e02b2,False,False
234703afb24d,1e6e14ca2e81,ff7499af5148,False,False
c595540965cd,d42f06d92a52,ba4dd06ef108,True,True
2040929b91d8,b8bc075e54b9,dfd572ac8b64,True,False
20cdabcf47a1,985e342b613a,c920d8c7a90a,True,True
f464f8ec9c3b,c94af46d6fe7,2a6fffc3967d,True,True
58a9e2f8cdc3,2e935226520b,1c9a5e4f9641,True,True
3827557c477a,aba97ea00ac8,c674da4a8e15,True,True
210bfdf30313,b8bc075e54b9,b5e368c3f830,False,False
ae71ea5f3e42,907004f1060e,398e98f02bd1,True,True
638f09ddc7b0,ba4dd06ef108,ea0ab6875037,False,False
e48cc52b6de5,a3b33b29e0cf,4796f6716ad5,False,False
c96fe807a18f,dfd572ac8b64,b8bc075e54b9,True,False
d5e25f91dc5e,889fa969ff6e,d5e25f91dc5e,True,True
