Profile_ID,Sex,Relationship_Status,Dorm,Major,Year
b8bc075e54b9,6fb336b554b6,9cea719429e9,4bb4df9e464e,827e5c7758c2,c1a648750a4b
49194b3720b6,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,3c285c164f0c,8724226d4754
f0f5962bbc52,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,f99bb3b6a185,c1a648750a4b
d42f06d92a52,6fb336b554b6,ac0b88e46e20,2a59be064efd,db85f196a0a8,222a76d38f58
81123b29ee66,e807eb960650,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,222a76d38f58
b1b65a546a3e,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
b712b1359e68,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,222a76d38f58
c2833a91454a,6fb336b554b6,9cea719429e9,2a59be064efd,77caf86c9324,222a76d38f58
993a9b1dc2ef,6fb336b554b6,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
1d54d57a01a7,6fb336b554b6,,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
79ff489ecbc1,e807eb960650,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
9e5bec3ed583,e807eb960650,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
ac5577bc1a57,6fb336b554b6,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
bd51b54aa99c,6fb336b554b6,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
4ebf721a9462,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,827e5c7758c2,8724226d4754
f654a40a9376,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
b4bbd056ae56,e807eb960650,ac0b88e46e20,a8e6e404d1b3,5f952c1d1550,e725dc5618e5
83c0e39eb091,6fb336b554b6,9cea719429e9,a8e6e404d1b3,b843c69fbb19,c1a648750a4b
2e79cae5ff8c,6fb336b554b6,ac0b88e46e20,1459151641aa,141d4cdd5aaf,8724226d4754
2e935226520b,e807eb960650,9cea719429e9,84d03921293c,985e99df6f0c,8724226d4754
c4f33679edb6,e807eb960650,188f9a32c360,a8e6e404d1b3,f99bb3b6a185,8724226d4754
cbba789fcc68,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,3c285c164f0c,c1a648750a4b
f8b71643a4c1,6fb336b554b6,ac0b88e46e20,84d03921293c,827e5c7758c2,e725dc5618e5
44946ad84360,e807eb960650,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
c256266e0958,6fb336b554b6,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
ba4dd06ef108,e807eb960650,188f9a32c360,4bb4df9e464e,141d4cdd5aaf,e725dc5618e5
307cbfe561e1,6fb336b554b6,9cea719429e9,4bb4df9e464e,141d4cdd5aaf,222a76d38f58
817d28fcd51f,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
8de38b5be85e,6fb336b554b6,ac0b88e46e20,1459151641aa,b812ef5b95a0,c1a648750a4b
985e342b613a,6fb336b554b6,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,222a76d38f58
2631addff82d,6fb336b554b6,,a8e6e404d1b3,141d4cdd5aaf,222a76d38f58
9a058cf2e094,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
61dcaf381ffe,e807eb960650,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
ad7e37d49cb8,e807eb960650,188f9a32c360,a8e6e404d1b3,141d4cdd5aaf,222a76d38f58
5c1ac5c4ae34,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
de2965ac31c3,6fb336b554b6,,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
cb0f5998e796,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
2007780558c9,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
07921bdec548,e807eb960650,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
75f2e606f05c,e807eb960650,9cea719429e9,7d3b0d43511b,8f94f35d9873,222a76d38f58
45a669e4fc6a,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
1e498fd35e79,6fb336b554b6,,15f366ad6d42,5f952c1d1550,c1a648750a4b
b58535395a0e,e807eb960650,9cea719429e9,8bbd6598d4a5,ed412b40a680,c1a648750a4b
bb37036f9c97,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,ed412b40a680,8724226d4754
08452885ff12,6fb336b554b6,,0893eb69bfe9,f99bb3b6a185,c1a648750a4b
f45207fec6ba,6fb336b554b6,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
6cd965e6987b,e807eb960650,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
f7c8b901f6d3,6fb336b554b6,9cea719429e9,4bb4df9e464e,141d4cdd5aaf,222a76d38f58
057b9bfb4420,6fb336b554b6,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
956a8e33023f,e807eb960650,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
fc26407908c0,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,222a76d38f58
eb0037580902,6fb336b554b6,9cea719429e9,4bb4df9e464e,141d4cdd5aaf,8724226d4754
f7b62a0558fa,e807eb960650,ac0b88e46e20,7137733c4c87,827e5c7758c2,222a76d38f58
d627522f3984,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,222a76d38f58
c391658a19c7,e807eb960650,ac0b88e46e20,4bb4df9e464e,141d4cdd5aaf,8724226d4754
333de2dc16dc,e807eb960650,9cea719429e9,4bb4df9e464e,141d4cdd5aaf,222a76d38f58
1e6e14ca2e81,6fb336b554b6,ac0b88e46e20,4bb4df9e464e,141d4cdd5aaf,c1a648750a4b
740522c85adc,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,222a76d38f58
b5e368c3f830,e807eb960650,ac0b88e46e20,8bbd6598d4a5,6948e1625f71,c1a648750a4b
d2813865c79c,e807eb960650,ac0b88e46e20,c2c85a9d13d6,ed412b40a680,222a76d38f58
88be06d25a00,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
440af1812334,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
31cb4a596cdc,6fb336b554b6,9cea719429e9,4bb4df9e464e,141d4cdd5aaf,e725dc5618e5
e08f32a63a29,e807eb960650,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,222a76d38f58
72255340fb39,6fb336b554b6,,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
498fb98f60ad,e807eb960650,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
05e4c05872de,e807eb960650,ac0b88e46e20,4bb4df9e464e,141d4cdd5aaf,c1a648750a4b
68a329c47450,6fb336b554b6,,2a59be064efd,db85f196a0a8,222a76d38f58
685afaed9867,6fb336b554b6,ac0b88e46e20,84d03921293c,141d4cdd5aaf,c1a648750a4b
69783db11b2c,e807eb960650,ac0b88e46e20,4bb4df9e464e,141d4cdd5aaf,e725dc5618e5
6f2dca6345d0,6fb336b554b6,188f9a32c360,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
2a6fffc3967d,6fb336b554b6,,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
75cb518fc43a,e807eb960650,188f9a32c360,4bb4df9e464e,141d4cdd5aaf,e725dc5618e5
dc42eb35fdc2,6fb336b554b6,9cea719429e9,ab3d0991df8b,77caf86c9324,c1a648750a4b
e84bfb0974bb,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
83c1cc7798a8,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,222a76d38f58
5613f7f5b5cc,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
aba97ea00ac8,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
2e1f49d39407,6fb336b554b6,ac0b88e46e20,1459151641aa,ed412b40a680,c1a648750a4b
40f7e1e55de6,6fb336b554b6,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
52102636a852,6fb336b554b6,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,222a76d38f58
cfd33488c7a8,6fb336b554b6,ac0b88e46e20,4bb4df9e464e,141d4cdd5aaf,8724226d4754
ff7499af5148,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,3c285c164f0c,c1a648750a4b
0776cf5a0850,6fb336b554b6,188f9a32c360,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
3c39f7406253,e807eb960650,,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
fad9e7cdced2,6fb336b554b6,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
a17b54d02266,e807eb960650,9cea719429e9,a8e6e404d1b3,9d75fcd8beb6,8724226d4754
2fa428847959,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
17cdaa697248,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
15c0812dceff,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
7d2f5e4f4b42,6fb336b554b6,188f9a32c360,4bb4df9e464e,141d4cdd5aaf,8724226d4754
0067b245d95d,e807eb960650,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
73bb8bfd3e3d,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
5934010f41da,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
7e49bcf5ebb3,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,222a76d38f58
d19a3fd66a47,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,222a76d38f58
ade9985c7d67,6fb336b554b6,9cea719429e9,4bb4df9e464e,141d4cdd5aaf,8724226d4754
34f888f96e03,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
b3a4c8f2a36b,6fb336b554b6,9cea719429e9,4bb4df9e464e,141d4cdd5aaf,222a76d38f58
d3d5d226a79b,e807eb960650,188f9a32c360,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
2013a3bf052c,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
f5e2392562b2,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
3d12202399dc,6fb336b554b6,ac0b88e46e20,8bbd6598d4a5,5f952c1d1550,8724226d4754
51d1ba826cae,6fb336b554b6,ac0b88e46e20,4bb4df9e464e,141d4cdd5aaf,222a76d38f58
742b6e5b64d7,6fb336b554b6,9cea719429e9,4bb4df9e464e,141d4cdd5aaf,c1a648750a4b
83b10ce23373,e807eb960650,ac0b88e46e20,4bb4df9e464e,141d4cdd5aaf,8724226d4754
b850b3434462,e807eb960650,,4bb4df9e464e,71f8337c5cb9,c1a648750a4b
89581f99fa1e,e807eb960650,ac0b88e46e20,9c41588b7021,06961fc22494,222a76d38f58
cd4efa39228a,6fb336b554b6,ac0b88e46e20,7137733c4c87,c502cc316fd1,c1a648750a4b
55818c401f3a,e807eb960650,,4bb4df9e464e,141d4cdd5aaf,c1a648750a4b
6dbf201074fb,6fb336b554b6,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
8700ea0ec29d,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,b843c69fbb19,c1a648750a4b
3617f6cbcded,6fb336b554b6,9cea719429e9,a8e6e404d1b3,b843c69fbb19,c1a648750a4b
55fcf51c7aa0,e807eb960650,9cea719429e9,4bb4df9e464e,141d4cdd5aaf,e725dc5618e5
cdcb129fb070,e807eb960650,,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
6f74ac703ce5,e807eb960650,188f9a32c360,a8e6e404d1b3,827e5c7758c2,c1a648750a4b
dfc5f5d28951,6fb336b554b6,9cea719429e9,a8e6e404d1b3,827e5c7758c2,c1a648750a4b
af53789b6fd0,6fb336b554b6,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,222a76d38f58
c37579407447,6fb336b554b6,ac0b88e46e20,4bb4df9e464e,141d4cdd5aaf,c1a648750a4b
47d9a9418d7a,6fb336b554b6,ac0b88e46e20,2a59be064efd,8f94f35d9873,c1a648750a4b
bc6c704292ad,e807eb960650,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
68d8e44b5776,e807eb960650,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
28e6c0f5e52e,e807eb960650,9cea719429e9,4bb4df9e464e,db41bb402071,c1a648750a4b
80b059535dc9,e807eb960650,9cea719429e9,4bb4df9e464e,141d4cdd5aaf,e725dc5618e5
af1ea5d543a6,6fb336b554b6,,2a59be064efd,db85f196a0a8,222a76d38f58
b905b3f59b30,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
a34eff021e02,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
676e3d882946,e807eb960650,,a8e6e404d1b3,141d4cdd5aaf,222a76d38f58
fe38f482a16e,e807eb960650,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
93ded5f4a9a2,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
c8823edd6529,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
f2da141a5410,6fb336b554b6,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
ae4e99731f02,e807eb960650,ac0b88e46e20,4bb4df9e464e,141d4cdd5aaf,222a76d38f58
cc2a82038185,e807eb960650,ac0b88e46e20,4bb4df9e464e,3c285c164f0c,8724226d4754
f7725a623ac8,6fb336b554b6,,4bb4df9e464e,141d4cdd5aaf,8724226d4754
97339f2c20f9,6fb336b554b6,ac0b88e46e20,0893eb69bfe9,f37ccf6ec942,c1a648750a4b
d675d6e7b7a6,e807eb960650,188f9a32c360,7d3b0d43511b,daefda81cd2b,c1a648750a4b
b2e9130ceb77,6fb336b554b6,188f9a32c360,a8e6e404d1b3,827e5c7758c2,222a76d38f58
63ab94d24452,e807eb960650,ac0b88e46e20,a8e6e404d1b3,b843c69fbb19,c1a648750a4b
9b0506775fd6,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
b27c1f55f390,6fb336b554b6,188f9a32c360,a8e6e404d1b3,827e5c7758c2,c1a648750a4b
0fcd9bb9fc31,e807eb960650,ac0b88e46e20,4bb4df9e464e,141d4cdd5aaf,c1a648750a4b
f2ea8d8104df,e807eb960650,ac0b88e46e20,4bb4df9e464e,141d4cdd5aaf,222a76d38f58
907004f1060e,e807eb960650,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
a8e84e79fd16,e807eb960650,ac0b88e46e20,a8e6e404d1b3,827e5c7758c2,c1a648750a4b
ad92bdd6f58f,6fb336b554b6,,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
94db0810f74f,6fb336b554b6,9cea719429e9,4bb4df9e464e,c3a7f2b226c8,8724226d4754
511654bb6c8d,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
9b7a5086a83b,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
3a78f54b92b8,6fb336b554b6,,a8e6e404d1b3,827e5c7758c2,c1a648750a4b
dd6db17ebab2,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
b2794e41d0cc,e807eb960650,9cea719429e9,8a880130d708,827e5c7758c2,c1a648750a4b
846e2499e288,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,222a76d38f58
b10e2efe5e96,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
8667c0c24db4,e807eb960650,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
0491a87eca39,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,222a76d38f58
a409c26e11ec,e807eb960650,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
f398e1781b61,6fb336b554b6,,a8e6e404d1b3,141d4cdd5aaf,c1a648750a4b
67971a1581b4,e807eb960650,,a8e6e404d1b3,985e99df6f0c,8724226d4754
bcf9895c77e8,e807eb960650,9cea719429e9,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
1863ea8d8306,6fb336b554b6,188f9a32c360,a8e6e404d1b3,141d4cdd5aaf,e725dc5618e5
76d3592668ee,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,222a76d38f58
375338afd04b,e807eb960650,ac0b88e46e20,a8e6e404d1b3,827e5c7758c2,c1a648750a4b
cb3c9de37b7e,6fb336b554b6,ac0b88e46e20,a8e6e404d1b3,141d4cdd5aaf,8724226d4754
e81599b5162b,6fb336b554b6,ac0b88e46e20,4bb4df9e464e,141d4cdd5aaf,c1a648750a4b
