Color,Click Count: Day 1,View Count: Day 1,Click Count: Day 2,View Count: Day 2,Click Count: Day 3,View Count: Day 3,Click Count: Day 4,View Count: Day 4,Click Count: Day 5,View Count: Day 5,Click Count: Day 6,View Count: Day 6,Click Count: Day 7,View Count: Day 7,Click Count: Day 8,View Count: Day 8,Click Count: Day 9,View Count: Day 9,Click Count: Day 10,View Count: Day 10,Click Count: Day 11,View Count: Day 11,Click Count: Day 12,View Count: Day 12,Click Count: Day 13,View Count: Day 13,Click Count: Day 14,View Count: Day 14,Click Count: Day 15,View Count: Day 15,Click Count: Day 16,View Count: Day 16,Click Count: Day 17,View Count: Day 17,Click Count: Day 18,View Count: Day 18,Click Count: Day 19,View Count: Day 19,Click Count: Day 20,View Count: Day 20
Pink,21,100,20,100,14,100,30,100,12,100,23,100,26,100,21,100,16,100,21,100,21,100,16,100,30,100,24,100,17,100,23,100,15,100,22,100,19,100,20,100
Gray,27,100,27,100,26,100,17,100,29,100,27,100,19,100,21,100,28,100,24,100,23,100,21,100,18,100,18,100,18,100,25,100,21,100,27,100,25,100,24,100
Sapphire,30,100,32,100,30,100,26,100,32,100,29,100,21,100,26,100,28,100,27,100,33,100,22,100,27,100,29,100,38,100,33,100,30,100,30,100,30,100,25,100
Purple,26,100,21,100,16,100,17,100,23,100,17,100,21,100,30,100,15,100,26,100,17,100,20,100,24,100,19,100,24,100,22,100,20,100,26,100,25,100,33,100
Coral,26,100,24,100,25,100,27,100,36,100,30,100,36,100,31,100,31,100,26,100,37,100,25,100,21,100,23,100,20,100,26,100,21,100,22,100,26,100,25,100
Olive,26,100,19,100,20,100,23,100,27,100,11,100,24,100,18,100,22,100,29,100,26,100,24,100,15,100,17,100,10,100,16,100,21,100,23,100,26,100,26,100
Navy,38,100,29,100,30,100,32,100,29,100,22,100,29,100,30,100,25,100,23,100,26,100,30,100,27,100,23,100,29,100,37,100,30,100,25,100,31,100,41,100
Maroon,21,100,29,100,24,100,22,100,22,100,23,100,22,100,16,100,26,100,26,100,17,100,24,100,19,100,29,100,22,100,21,100,22,100,32,100,25,100,20,100
Teal,25,100,25,100,32,100,28,100,25,100,24,100,31,100,28,100,29,100,27,100,33,100,28,100,29,100,39,100,26,100,35,100,23,100,26,100,32,100,24,100
Cyan,24,100,22,100,34,100,23,100,23,100,31,100,28,100,31,100,26,100,25,100,27,100,28,100,35,100,16,100,30,100,29,100,26,100,33,100,37,100,33,100
Orange,13,100,28,100,24,100,20,100,21,100,22,100,24,100,17,100,21,100,18,100,29,100,14,100,21,100,26,100,31,100,19,100,16,100,12,100,22,100,28,100
Black,27,100,25,100,28,100,26,100,25,100,13,100,22,100,21,100,25,100,23,100,17,100,20,100,24,100,17,100,17,100,17,100,25,100,20,100,19,100,21,100
Tan,22,100,15,100,18,100,28,100,19,100,24,100,28,100,21,100,25,100,16,100,14,100,20,100,32,100,21,100,26,100,20,100,21,100,26,100,25,100,19,100
Red,22,100,22,100,16,100,19,100,15,100,18,100,16,100,35,100,26,100,19,100,15,100,31,100,19,100,18,100,23,100,23,100,23,100,16,100,25,100,12,100
Blue,29,100,30,100,27,100,27,100,42,100,33,100,29,100,18,100,27,100,21,100,28,100,24,100,27,100,30,100,39,100,26,100,31,100,31,100,23,100,25,100
Brown,19,100,16,100,15,100,16,100,20,100,27,100,26,100,28,100,19,100,21,100,28,100,30,100,17,100,26,100,25,100,18,100,21,100,29,100,16,100,24,100
Turquoise,24,100,37,100,34,100,32,100,33,100,27,100,16,100,35,100,27,100,29,100,22,100,23,100,36,100,21,100,26,100,25,100,35,100,31,100,21,100,26,100
Indigo,12,100,16,100,26,100,20,100,23,100,18,100,21,100,27,100,17,100,26,100,22,100,26,100,18,100,27,100,24,100,22,100,19,100,29,100,31,100,15,100
Gold,21,100,22,100,27,100,22,100,28,100,16,100,24,100,26,100,26,100,29,100,28,100,25,100,17,100,22,100,14,100,21,100,16,100,22,100,22,100,29,100
Jade,27,100,28,100,22,100,21,100,22,100,22,100,20,100,24,100,26,100,19,100,26,100,27,100,17,100,19,100,26,100,20,100,21,100,20,100,21,100,23,100
Ultramarine,49,100,41,100,24,100,36,100,34,100,31,100,31,100,36,100,44,100,35,100,30,100,29,100,28,100,28,100,38,100,30,100,31,100,34,100,40,100,35,100
